time,command
2023-12-18-19-57-12,1
2023-12-18-20-01-10,1
2023-12-18-20-07-47,1
2023-12-18-23-00-10,0
2023-12-19-05-00-11,1
2023-12-19-05-58-11,0
2023-12-19-06-00-12,1
2023-12-19-06-02-08,0
2023-12-19-06-29-34,1
2023-12-19-09-28-44,1
2023-12-19-17-50-32,0
2023-12-19-18-08-36,1
2023-12-19-19-00-13,0
2023-12-19-19-01-32,1
2023-12-19-19-32-12,0
2023-12-19-19-33-38,1
2023-12-19-19-34-03,0
2023-12-19-21-35-40,1
2023-12-19-22-08-40,0
2023-12-20-05-00-08,1
2023-12-20-23-13-38,0
2023-12-20-23-25-10,1
2023-12-21-18-59-34,0
2023-12-21-21-17-09,1
2023-12-21-22-51-39,0
2023-12-22-06-33-38,1
2023-12-22-07-45-35,0
2023-12-22-08-27-07,1
2023-12-22-23-00-03,0
2023-12-23-14-00-11,1
2023-12-23-16-14-12,0
2023-12-23-16-14-37,1
2023-12-23-16-15-42,0
2023-12-23-16-17-36,1
2023-12-23-16-19-42,0
2023-12-23-17-14-11,1
2023-12-23-17-52-39,0
